#,1,1,1,1,1,1,1,1,1,1
",",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
;,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
el,0.33774834437086093,0.24895849521985655,0.21438994275451792,0.2607175567141045,0.42944158286321643,0.18156468836148168,0.5179550125599451,0.19861050633980853,0.3800302432444886,0.21533179862603696
término,0.006622516556291392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004000318349941985,0.0
función,0.07947019867549669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004000318349941985,0.0
de,1.0,0.5457936241358393,0.5574138511617466,0.6223580386078625,0.9174433815714169,0.5931113153141735,0.7360413336378169,0.8068551820054722,0.8680690819374108,0.7501882016649029
green,0.059602649006622516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
se,0.21192052980132453,0.06702728717457676,0.10719497137725896,0.18923048471185008,0.07808028779331208,0.0968345004594569,0.14993434574103676,0.08689209652366624,0.24801973769640306,0.11808517989169769
usa,0.006622516556291392,0.00957532673922525,0.0,0.0,0.0,0.0,0.0,0.0,0.012000955049825955,0.0
para,0.0728476821192053,0.12447924760992828,0.06431698282635537,0.09671780329716782,0.01952007194832802,0.08473018790202479,0.16356474080840375,0.11171840981614231,0.07600604864889772,0.08335424462943365
designar,0.006622516556291392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,0.20529801324503313,0.2393831684806313,0.32158491413177687,0.26912780047907564,0.27328100727659227,0.32681643905066704,0.09541276547156886,0.32274207280218886,0.20001591749709924,0.26395510799320654
un,0.17218543046357615,0.14362990108837878,0.10719497137725896,0.16399975341693673,0.15616057558662416,0.14525175068918533,0.1363039506736698,0.14895787975485641,0.14401146059791145,0.1806008633637729
operador,0.026490066225165566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lineal,0.019867549668874173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k,0.013245033112582783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
que,0.33112582781456956,0.5170676439181635,0.32158491413177687,0.4625634070734113,0.46848172675987243,0.44785956462498816,0.5043246174925783,0.34756838609466495,0.25602037439628705,0.5001254677766018
tiene,0.019867549668874173,0.0,0.0,0.004205121882485557,0.0,0.012104312557432112,0.013630395067366978,0.024826313292476067,0.01600127339976794,0.01389237410490561
forma,0.026490066225165566,0.0191506534784505,0.0,0.012615365647456672,0.01952007194832802,0.0,0.04089118520210094,0.0,0.02400191009965191,0.0
integral,0.013245033112582783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
siendo,0.006622516556291392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
núcleo,0.019867549668874173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
este,0.026490066225165566,0.00957532673922525,0.0,0.004205121882485557,0.01952007194832802,0.012104312557432112,0.05452158026946791,0.024826313292476067,0.03600286514947786,0.020838561157358413
la,0.7483443708609272,0.3638624160905596,0.34302390840722863,0.3868712131886713,0.2537609353282642,0.25419056370607435,0.5588461977620461,0.3351552294484269,0.520041385492458,0.3681479137799986
propiamente,0.019867549668874173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dicha,0.019867549668874173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004000318349941985,0.0
explicar,0.019867549668874173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qué,0.013245033112582783,0.0,0.0,0.0588717063547978,0.058560215844984054,0.07262587534459267,0.04089118520210094,0.024826313292476067,0.0,0.04862330936716963
es,0.13907284768211922,0.21065718826295554,0.06431698282635537,0.06307682823728336,0.13664050363829613,0.13314743813175323,0.23171671614523862,0.06206578323119017,0.12000955049825955,0.13892374104905608
consideremos,0.006622516556291392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diferencial,0.019867549668874173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l,0.026490066225165566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
actúa,0.006622516556291392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sobre,0.019867549668874173,0.0191506534784505,0.02143899427545179,0.016820487529942228,0.0,0.012104312557432112,0.05452158026946791,0.0,0.04000318349941985,0.041677122314716826
cierto,0.006622516556291392,0.0,0.0,0.0,0.0,0.0,0.013630395067366978,0.0,0.004000318349941985,0.01389237410490561
espacio,0.039735099337748346,0.0,0.0,0.0,0.0,0.0,0.027260790134733957,0.0,0.00800063669988397,0.0
funciones,0.026490066225165566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
definidas,0.006622516556291392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
una,0.25165562913907286,0.14362990108837878,0.10719497137725896,0.13456390023953782,0.13664050363829613,0.0968345004594569,0.14993434574103676,0.06206578323119017,0.1360108238980275,0.1458699281015089
variedad,0.006622516556291392,0.00957532673922525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diferenciable,0.006622516556291392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m,0.006622516556291392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01600127339976794,0.0
